Neighbourhood,Latitude,Longitude
Downtown,38.5817764,-121.5118246
Old Sacramento,38.5773054,-121.5179954
East Sacramento,38.5678443,-121.4812054
Midtwon,38.5725111,-121.4945252
Cal Expo,38.5897452,-121.450774
Oak Park,38.5425541,-121.4796
Riverside,38.5159307,-121.5320156
Pocket,38.4950712,-121.5656653
Land Park,38.5547721,-121.5195255
Del Paso Heights,38.6378532,-121.4470693
Robla,38.6553517,-121.467329
Southside Park,38.5696062,-121.5113152
Campus Commons,38.5681686,-121.4241688
South Natomas,38.6246038,-121.5289959
Strawberry Manor,38.6252357,-121.4722663
Natomas Crossing,38.6362231,-121.5293446
North Oak Park,38.553488,-121.4728897
Tallac Village,38.5286934,-121.4418458
South Hagginwood,38.6191537,-121.4494193
Walsh Station,38.5287941,-121.3521827
Hagginwood,38.6257527,-121.4469266
Mansion Flats,38.583314,-121.4905435
Mangan Park,38.5231557,-121.4993704
Old North Sacramento,38.6080197,-121.4716741
Poverty Ridge,38.5640049,-121.4867318
American River Parkway,38.5984993,-121.5170626
Fruitridge Manor,38.5235056,-121.4454188
Natomas Corporate Center,38.6107277,-121.5138063
Alhambra Triangle,38.5615606,-121.4752178
North City Farms,38.5329557,-121.4850893
Richmond Grove,38.5662772,-121.4995581
Z'berg Park,38.4852522,-121.5187608
RP Sports Complex,38.6546682,-121.537676
Natomas Creek,38.6779412,-121.5436047
Golf Course Terrace,38.5034552,-121.512075
Upper Land Park,38.5567142,-121.5180208
New Era Park,38.5827047,-121.4814704
Tahoe Park,38.5465757,-121.4446293
East Del Paso Heights,38.6397866,-121.4357271
Freeport Manor,38.5124062,-121.5113209
Erickson Industrial Park,38.6054036,-121.4482191
Tahoe Park South,38.5357665,-121.4418305
Dos Rios Triangle,38.5938044,-121.4868453
Norwood I-80,38.6399654,-121.4570148
Tahoe Park East,38.5450332,-121.4277166
Carleton Tract,38.5361559,-121.4929182
Colonial Village North,38.5335612,-121.4270198
South Land Park,38.5313054,-121.5244662
Creekside,38.6641897,-121.5397692
Westlake,38.6631227,-121.5502233
